Timestamp;What is your position on systemd?;Have you tried systemd?;Do you feel that systemd is breaking the UNIX philosophy?;Do you feel that systemd is bloated?;Do you feel that systemd is modular?;Do you feel that systemd is monolithic?;Do you feel that systemd is eating up other project?;What do you think about http://0pointer.de/blog/projects/why.html?;Have you been frustrated by bugs in systemd?;Do you feel obligated to use systemd?;Are you afraid systemd will destroy the GNU/Linux ecosystem?;Is systemd stopping you from using some other software?;Are you vocal about systemd?;What is your position on Red Hat?;What is your position on Avahi?;What is your position on PulseAudio?;What is your position on D-Bus?;What is your position on kdbus?;What is your position on Docker?;Do you use containerisation?;Do you use socket activation;Do you use D-Bus activation;Do you use cron?;Do you use at?;Do you encrypt your /?;Do you encrypt any other partition, besides swap?;Do you use swap?;Do you use a graphical boot?;What do you call GNU/Linux?;What is your position on smartphones?;Do you use an FSF endorsed distro?;What is your position on free software versus open source?;Are you a distro developer?;Are you a web developer?;Are you a non-web developer?;Are you a system administrator?;Are you a gamer?;Do you like the Web?;Do you like Gopher?;Do you like new and shiny?;Are you a fan of suckless.org software?;Are you a GNU Hurd fan?;What is the most important about a distro, besides freedom?;What is the second most important about a distro, besides freedom?;What is the least important about a distro, besides freedom?;Do you prefer word processors over text editors?;Do you prefer LaTeX or LibreOffice?;What text editor do you use?;Do you use an integrated development environment?;What type of window manager do you prefer?;What display server do you want to be the future?;Which operating systems do you use?;Which is your perfered operating system?;Which operating systems have you used, including currently used?;How often do you use GNU/Linux at home?;What type of distro do you perfer?;What command line shell do you use?;What is your terminal usage?;Do you use the TTY?;Do you use a login manager?;What kind of computers are you using?;When did you start using GNU, or Linux?;How old are you?;What is the highest education level you have completed?;Was you highest education level degree in computer science?;What education level are you currently engaged in?;Are you currently engaged in getting a degree in computer science?;What gender do you identify as?;Do you watch the Linux Action Show?;Do you watch Linux Unplugged?;Do you watch BSD Now?;Any comments?
11/22/2014 15:13:41;In favour;Yes;A bit;No;Yes;Yes;Yes, but I do not mind that;Legit;Yes;Yes;No;No;No;I love them;Neither;Neither;In favour;In favour;In favour;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes, encrypted;Yes;Linux;Neither;No, or yes but not because it is free;Neither;No;No;Yes, full-stack;Yes;No;No;No;Neither;Some of it;No;Security;Stability;Shiny;No;LaTeX, or similar;Vi-family;Yes;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS, Other;GNU/Linux;GNU/Linux, Windows or ReactOS, Other;100 %;Advanced;zsh;I live in the terminal;Yes;Yes;Server, Desktop, Portable, Laptop, Ultrabook, Other;2004–2007;22–25;4 years university or university college, or longer;Yes;4 years university or university college, or longer;Yes;Male;No;No;No;
11/22/2014 16:25:30;In favour;Yes;A bit;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;Yes;Neutral;Neither;In favour;In favour;In favour;In favour;No;Yes;No;Yes;Yes;No;No;Yes;No;GNU/Linux;In favour;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;Yes, full-stack;Yes;A little;Yes;Neither;Yes;No;No;Stability;Flexibility;Security;No;LaTeX, or similar;Emacs-family;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Ultrabook, Tablet, PDA;1996–1999;30–39;4 years university or university college, or longer;Yes;4 years university or university college, or longer;No;Male;Sometimes;No;No;
11/22/2014 16:41:49;Neither;Yes;A bit;Don't know;Don't know;Don't know;Yes;I have no opinion;Yes;Yes;;No;No;Neutral;What is that?;Neither;Neither;Neither;Against;Yes;Yes;No;No;What is that?;No;No;Yes;Yes;Linux;In favour;Yes, but not exclusively;I'm for free software;No;No;Yes, back-end (exclusively or preferably);No;;Neither;Neither;No;What is that?;What is that?;Stability;Performance;Shiny;No;LaTeX, or similar;Vi-family;Yes;Stacking;X;GNU/Linux, OS X;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS, Other UNIX-like;80–100 %;Advanced;bash;Occasional;No;Depends on which computer a use;Server, Desktop, Laptop;2000–2003;60–69;Postgraduate;No;None;No;Male;No;No;No;
11/22/2014 17:21:19;In favour;Yes;A bit;No;Yes;No;Yes, but I do not mind that;Legit;No;No;No;No;Yes;I love them;Neither;In favour;In favour;In favour;What is that?;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Linux;In favour;Yes, but not exclusively;I'm for free software;No;No;Yes, full-stack;Yes;No;Yes;Yes;Yes;Yes;Yes;Performance;Shiny;Small;No;LibreOffice, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;Yes;Yes;Server, Desktop, Ultrabook, Netbook;2004–2007;30–39;4 years university or university college, or longer;No;None;No;Male;Sometimes;No;No;
11/22/2014 19:41:27;In favour;Yes;No;No;Yes;No;Yes, but I do not mind that;Legit;No;No;No;No;Yes;Neutral;In favour;In favour;Neither;In favour;Neither;Yes;Yes;Yes;No;No;No;No;No;Yes;By the name of the distribution I use;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;No;A little;Yes;No;Yes;Some of it;No;Bleeding edge;Flexibility;Small;No;LaTeX, or similar;Vi-family;No;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, OS X, Windows or ReactOS, Haiku or BeOS;100 %;Advanced;zsh;I live in the terminal;Yes;Yes;Desktop, Ultrabook;2008–2011;18–21;High school;Yes;College;Yes;Female;Yes;Yes;Sometimes;
11/22/2014 20:11:03;Neither;Yes;No;No;No;Yes;Yes, but I do not mind that;I have no opinion;No;No;No;No;No;I love them;Neither;In favour;What is that?;What is that?;Neither;Yes;No;No;Yes;No;No;No;Yes;No;Linux;In favour;Yes, but not exclusively;I'm for open source;No;Yes, back-end (exclusively or preferably);Yes, back-end (exclusively or preferably);No;No;Yes;Neither;Yes;Yes;No;Performance;Stability;Small;No;LibreOffice, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;Yes;No;Server, Laptop;2008–2011;22–25;4 years university or university college, or longer;Yes;4 years university or university college, or longer;Yes;Male;No;No;No;
11/22/2014 22:03:16;Neither;No;A bit;Yes;Yes;Yes;Yes;Helpful;Yes;Yes;Yes;No;No;Neutral;In favour;In favour;In favour;In favour;Neither;No;What is that?;What is that?;Yes;What is that?;Yes;Yes;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;Yes;A little;Yes;What is that?;Yes;No;No;Flexibility;Stability;Shiny;No;LaTeX, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux, OS X;GNU/Linux;GNU/Linux, *BSD, OS X, Windows or ReactOS;40–60 %;Advanced;zsh;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop, Tablet;2012–2013;18–21;3 years university or university college, or shorter;No;3 years university or university college, or shorter;Yes;Male;No;No;No;
11/22/2014 23:22:57;Against;Yes;Yes;Yes;No;Yes;Yes;Biased;Yes;No;Yes;No;No;I hate them;Neither;In favour;Neither;Against;In favour;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;GNU/Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;Yes, full-stack;Yes;A little;Yes;Yes;Yes;Some of it;Yes;Flexibility;Stability;Small;No;LibreOffice, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS, Haiku or BeOS, Other UNIX-like, Other;100 %;Advanced;bash;Drop-down terminal;Yes;Yes;Server, Desktop, Portable, Ultrabook, Tablet;1996–1999;30–39;4 years university or university college, or longer;No;None;No;Male;No;No;No;
11/23/2014 1:15:43;In favour;Yes;A bit;No;Yes;Yes;Yes, but I do not mind that;I have no opinion;No;No;No;No;Yes;Neutral;Neither;In favour;In favour;In favour;In favour;Yes;Yes;Yes;Yes;No;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;No;Yes;A little;Yes;Neither;Neither;Some of it;No;Flexibility;Stability;Shiny;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux, *BSD, OS X;GNU/Linux;GNU/Linux, *BSD, *Solaris, OS X, Windows or ReactOS, Other UNIX-like;100 %;Advanced;zsh;I live in the terminal;No;Yes;Server, Desktop, Portable, Ultrabook, Tablet;2000–2003;26–29;College;Yes;None;No;Male;Yes;Yes;Yes;
11/23/2014 1:53:17;In favour;Yes;No;No;No;Yes;Yes, but I do not mind that;Helpful;No;No;No;No;No;Neutral;What is that?;Neither;In favour;In favour;Neither;No;Yes;Yes;No;No;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;No;No;Neither;What is that?;Yes;What is that?;No;Flexibility;Bleeding edge;Shiny;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;No;Yes;Desktop, Ultrabook;2008–2011;18–21;4 years university or university college, or longer;I have not graduated high school;4 years university or university college, or longer;Yes;Male;Yes;Yes;No;
11/23/2014 1:57:40;Neither;No;No;No;Don't know;Don't know;No;Helpful;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;Neither;In favour;In favour;Neither;Neither;No;No;No;Yes;No;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;Neither;No;Yes, full-stack;Yes, back-end (exclusively or preferably);Yes;Yes;Yes;What is that?;Neither;No, it is stupid;No;Flexibility;Performance;Small;No;LaTeX, or similar;Other;Yes;Stacking;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *Solaris, Windows or ReactOS;80–100 %;Advanced;bash;Drop-down terminal;Yes;Yes;Server, Desktop, Tablet;2004–2007;26–29;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/23/2014 3:27:53;In favour;Yes;No;No;Yes;Don't know;Yes, but I do not mind that;Helpful;No;No;No;No;No;I love them;Neither;Neither;Neither;Neither;In favour;No;No;No;No;No;No;No;Yes;No;Other;Against mobile phones in general;No, or yes but not because it is free;I'm for free software;No;Yes, back-end (exclusively or preferably);No;Yes;A little;Yes;Neither;Yes;Some of it;No;Flexibility;Performance;Bleeding edge;No;LaTeX, or similar;Emacs-family;No;Stacking;Wayland;GNU/Linux, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, OS X, Windows or ReactOS, Haiku or BeOS;80–100 %;Advanced;fish;I live in the terminal;Yes;No;Server, Desktop, Laptop;1992–1995;30–39;College;Yes;College;Yes;Male;No;No;No;
11/23/2014 3:43:03;Against;Yes;Yes;Don't know;;Yes;Yes, but I do not mind that;I have no opinion;Yes;No;Yes;No;Yes;Neutral;Neither;Against;Neither;Neither;Neither;No;No;No;Yes;What is that?;;Yes;Yes;Yes;GNU/Linux;In favour;Yes, but not exclusively;I'm for free software;No;No;No;No;A little;Yes;Neither;Neither;What is that?;No;Privacy;Security;Shiny;No;LibreOffice, or similar;Other;I'm not a developer;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, *BSD;100 %;Advanced;zsh;Occasional;Yes;Depends on which computer a use;Desktop, Laptop, Tablet;1996–1999;50–59;3 years university or university college, or shorter;No;None;No;Male;Sometimes;No;No;
11/23/2014 6:16:41;Against;No;Yes;Yes;No;Yes;Don't know;FUD;No;Yes;Yes;No;No;Neutral;Against;Neither;In favour;Neither;Against;No;No;No;Yes;No;No;No;Yes;No;Linux;In favour;No, or yes but not because it is free;I'm for free software;No;No;No;Yes;Yes;Yes;Neither;Neither;Yes;No;Stability;Other;Bleeding edge;Yes;LibreOffice, or similar;Vi-family;No;Stacking;X;GNU/Linux, UNIX, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS, Haiku or BeOS, Other UNIX-like;0–20 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop, Portable, Laptop, Tablet, PDA;1992–1995;30–39;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/23/2014 9:35:30;Against;No;Yes;Yes;No;Yes;Yes;FUD;Yes;No;Yes;Yes;Yes;Neutral;Against;Against;Against;Against;Neither;Yes;No;No;Yes;Yes;Yes;Yes;Yes, encrypted;No;Linux;Against;No, or yes but not because it is free;I'm for free software;No;Yes, back-end (exclusively or preferably);Yes, back-end (exclusively or preferably);Yes;No;Yes;Neither;No;What is that?;No;Stability;Security;Shiny;No;LibreOffice, or similar;Emacs-family;No;What does all of this mean?;Neither;GNU/Linux, *BSD, *Solaris, OS X;*Solaris;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Other UNIX-like;100 %;Advanced;zsh;I live in the terminal;No;No;Server, Laptop;1992–1995;40–49;Postgraduate;Yes;None;No;Male;No;No;No;
11/23/2014 13:13:59;Against;Yes;Yes;Yes;No;Yes;Yes;Biased;No;No;Yes;No;Yes;I hate them;Against;Against;Neither;Neither;Neither;No;No;No;Yes;No;No;No;No;No;GNU/Linux;In favour;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;No;Yes;Yes;Yes;Neither;Neither;Some of it;No;Security;Stability;Shiny;No;LibreOffice, or similar;Vi-family;No;Stacking;Neither;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, Plan 9 from Bell Labs, OS X, Windows or ReactOS;80–100 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop;2004–2007;26–29;High school;No;None;No;Male;No;No;No;
11/23/2014 14:56:36;Neither;Yes;A bit;No;Yes;Don't know;No;I have no opinion;No;No;No;No;No;Neutral;Neither;Neither;Neither;Neither;In favour;No;No;No;Yes;No;Yes;Yes;No;Yes;Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;Yes, full-stack;No;A little;Yes;What is that?;Neither;What is that?;What is that?;Stability;Bleeding edge;Small;No;LibreOffice, or similar;Vi-family;Yes;Tiling, or dynamic;Wayland;GNU/Linux;GNU/Linux;GNU/Linux;40–60 %;Advanced;bash;I live in the terminal;What is that?;Depends on which computer a use;Server, Desktop;2012–2013;14–17;None;No;None;No;Male;Sometimes;Sometimes;No;
11/23/2014 16:40:41;Against;Yes;Yes;Yes;Don't know;Don't know;Don't know;FUD;Yes;No;No;No;No;Neither;Against;Against;Against;Against;Against;No;No;No;Yes;No;Yes;Yes;Yes, encrypted;No;By the name of the distribution I use;Neither;No, or yes but not because it is free;Neither;No;Yes, full-stack;Yes, full-stack;Yes;Yes;Neither;Neither;No;No;No;Flexibility;Security;Shiny;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Neither;GNU/Linux;GNU/Linux;GNU/Linux, *BSD, Windows or ReactOS;100 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop, Portable, Laptop;1996–1999;30–39;4 years university or university college, or longer;Yes;Postgraduate;Yes;Male;No;No;No;
11/23/2014 22:26:39;Neither;Yes;No;No;Yes;No;No;Helpful;No;No;No;No;No;Neutral;Neither;Neither;In favour;In favour;In favour;No;No;No;Yes;No;No;No;Yes;No;Linux;Neither;No, or yes but not because it is free;Neither;No;No;No;No;No;Yes;What is that?;Yes;Some of it;No;Bleeding edge;Performance;Shiny;No;LaTeX, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, Windows or ReactOS;100 %;Advanced;zsh;I live in the terminal;No;Yes;Ultrabook;2008–2011;22–25;4 years university or university college, or longer;Yes;College;No;Male;No;No;No;
11/24/2014 1:14:06;Against;Yes;Yes;Yes;Yes;Yes;Yes;I have no opinion;Yes;Yes;No;Yes;No;Neutral;Neither;Against;Neither;Neither;Neither;No;No;No;Yes;Yes;No;Yes;Yes;No;GNU/Linux;Neither;No, or yes but not because it is free;Neither;No;No;Yes, full-stack;Yes;Yes;Yes;Neither;Neither;Yes;No;Flexibility;Performance;Shiny;No;LaTeX, or similar;Vi-family;No;Stacking;Neither;GNU/Linux, *BSD, Windows or ReactOS, Haiku or BeOS;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, Plan 9 from Bell Labs, OS X, Windows or ReactOS, Haiku or BeOS, Other UNIX-like;80–100 %;Advanced;zsh;I live in the terminal;Yes;No;Server, Desktop, Portable, Laptop, Other;2000–2003;22–25;Postgraduate;No;Docent;No;Neither;Yes;No;No;
11/24/2014 8:55:43;In favour;Yes;No;No;Yes;No;Yes, but I do not mind that;Helpful;No;No;No;No;No;Neutral;Neither;Neither;Neither;Neither;In favour;Yes;Yes;Yes;No;No;No;Yes;No;Yes;By the name of the distribution I use;In favour;Yes, but not exclusively;I'm for open source;No;Yes, full-stack;Yes, front-end (exclusively or preferably);Yes;A little;Yes;Neither;Neither;No;No;Stability;Stability;Shiny;Yes;LibreOffice, or similar;Other;Yes;Stacking;Wayland;GNU/Linux;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, *Solaris, OS X, Windows or ReactOS;100 %;Advanced;zsh;Drop-down terminal;Yes;Yes;Server, Desktop, Laptop, Tablet;2000–2003;26–29;College;No;3 years university or university college, or shorter;No;Male;Sometimes;Sometimes;No;
11/24/2014 20:08:48;Against;Yes;Yes;Yes;No;No;Yes;Biased;Yes;Yes;Yes;Yes, but only by its adoption by that software;Yes;Neutral;Neither;Against;In favour;In favour;Neither;No;No;No;Yes;No;No;No;Yes;No;By the name of the distribution I use;In favour;No, or yes but not because it is free;I'm for free software;No;Yes, full-stack;Yes, back-end (exclusively or preferably);Yes;Yes;Yes;No;Yes;Some of it;No;Stability;Flexibility;Shiny;No;LaTeX, or similar;Vi-family;Yes;Stacking;Wayland;GNU/Linux, *BSD, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS, Other UNIX-like, Other;80–100 %;Advanced;bash;Drop-down terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop, Netbook, Other;2000–2003;26–29;College;No;4 years university or university college, or longer;Yes;Male;No;No;No;
11/25/2014 1:50:14;Against;No;A bit;Yes;No;Yes;Don't know;Biased;No;Yes;Yes;No;No;Neutral;What is that?;What is that?;What is that?;What is that?;Against;What is that?;What is that?;What is that?;Yes;What is that?;Yes;Yes;Yes, encrypted;No;By the name of the distribution I use;Neither;Yes, but not exclusively;I'm for open source;No;Yes, front-end (exclusively or preferably);No;No;Yes;Yes;What is that?;Neither;What is that?;What is that?;Privacy;Security;Shiny;No;LibreOffice, or similar;Vi-family;Yes;Tiling, or dynamic;Neither;GNU/Linux, OS X, Windows or ReactOS, Other;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS, Other;20–40 %;Beginner's;bash;Drop-down terminal;What is that?;Depends on which computer a use;Desktop, Laptop, Tablet;2008–2011;30–39;4 years university or university college, or longer;No;None;Yes;Neither;No;No;No;
11/25/2014 1:50:27;Against;No;A bit;Yes;No;Yes;Don't know;Biased;No;Yes;Yes;No;No;Neutral;What is that?;What is that?;What is that?;What is that?;Against;What is that?;What is that?;What is that?;Yes;What is that?;Yes;Yes;Yes, encrypted;No;By the name of the distribution I use;Neither;Yes, but not exclusively;I'm for open source;No;Yes, front-end (exclusively or preferably);No;No;Yes;Yes;What is that?;Neither;What is that?;What is that?;Privacy;Security;Shiny;No;LibreOffice, or similar;Vi-family;Yes;Tiling, or dynamic;Neither;GNU/Linux, OS X, Windows or ReactOS, Other;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS, Other;20–40 %;Beginner's;bash;Drop-down terminal;What is that?;Depends on which computer a use;Desktop, Laptop, Tablet;2008–2011;30–39;4 years university or university college, or longer;No;None;Yes;Neither;No;No;No;
11/25/2014 17:15:08;In favour;Yes;A bit;Don't know;Don't know;Don't know;No;Biased;Yes;No;No;No;No;Irrelevant, systemd is not a Red Hat project;Against;Neither;Neither;What is that?;Neither;No;No;No;Yes;No;No;Yes;Yes;No;Linux;Neither;No, or yes but not because it is free;I'm for open source;No;Yes, back-end (exclusively or preferably);Yes, back-end (exclusively or preferably);Yes;A little;Yes;Neither;No;What is that?;No;Stability;Security;Bleeding edge;No;LibreOffice, or similar;Emacs-family;No;Tiling, or dynamic;Wayland;GNU/Linux, OS X;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS, Haiku or BeOS, Other;0–20 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop, Portable, Laptop, Tablet;1992–1995;30–39;High school;No;None;No;Male;No;No;No;
11/25/2014 17:23:11;Against;Yes;Yes;Yes;No;No;Yes;I have no opinion;Yes;Yes;Yes;Yes;Yes;Neither;Neither;Against;Against;Against;Neither;Yes;No;No;Yes;Yes;No;No;Yes;No;Linux;Neither;No, or yes but not because it is free;I'm for open source;No;No;Yes, full-stack;Yes;Yes;Yes;Yes;Yes;Some of it;No;Stability;Performance;Bleeding edge;No;LibreOffice, or similar;Vi-family;No;Tiling, or dynamic;Neither;GNU/Linux, *BSD, *Solaris, Windows or ReactOS, Other UNIX-like;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, Plan 9 from Bell Labs, *Solaris, UNIX, OS X, Windows or ReactOS, Haiku or BeOS, Other UNIX-like, Other;80–100 %;Advanced;bash;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Portable, Laptop, Ultrabook, Netbook, Tablet;1992–1995;30–39;High school;No;None;No;Male;No;No;No;
11/25/2014 17:27:58;Against;Yes;Yes;Yes;No;Yes;Yes;Helpful;No;Yes;Yes;No;No;I love them;Neither;Neither;Neither;Neither;In favour;Yes;No;No;Yes;No;No;No;Yes;No;By the name of the distribution I use;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;Yes;Yes;Yes;Neither;Yes;No;No;Stability;Performance;Shiny;No;LibreOffice, or similar;Vi-family;No;Stacking;Neither;GNU/Linux, *Solaris;GNU/Linux;GNU/Linux, *Solaris, UNIX, Windows or ReactOS;40–60 %;Advanced;bash;I live in the terminal;Yes;No;Server, Desktop, Laptop;2000–2003;30–39;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/25/2014 17:32:26;Against;Yes;Yes;Yes;No;Yes;Yes;FUD;No;No;Yes;No;Yes;I love them;Against;Against;Against;Against;Against;No;Yes;No;Yes;No;No;No;Yes;No;Linux;Against mobile phones in general;No, or yes but not because it is free;I'm for open source;No;No;No;Yes;Yes;Yes;Yes;No;Some of it;No;Stability;Flexibility;Performance;Yes;LibreOffice, or similar;Emacs-family;Yes;Tiling, or dynamic;X;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, UNIX, Windows or ReactOS;40–60 %;Advanced;bash;I live in the terminal;Yes;Yes;Desktop, Netbook;1992–1995;30–39;College;No;None;No;Male;No;No;No;
11/25/2014 17:33:04;Neither;Yes;A bit;Yes;No;No;Yes, but I do not mind that;Biased;Yes;No;No;No;No;Neutral;Against;Neither;Neither;In favour;Neither;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes, encrypted;No;By the name of the distribution I use;In favour;Yes, but not exclusively;Neither;Yes;No;Yes, full-stack;Yes;A little;No;Yes;Neither;Yes;No;Stability;Flexibility;Shiny;No;LaTeX, or similar;Vi-family;Yes;Stacking;Neither;GNU/Linux, *BSD;GNU/Linux;GNU/Linux, GNU but with another kernel than Linux, *BSD, Plan 9 from Bell Labs, UNIX, Windows or ReactOS, Haiku or BeOS, Other UNIX-like;100 %;Advanced;Other;I live in the terminal;;Depends on which computer a use;Server, Desktop, Portable, Laptop, Ultrabook, Netbook, Tablet, Other;2004–2007;22–25;3 years university or university college, or shorter;No;4 years university or university college, or longer;No;Male;No;No;Sometimes;
11/25/2014 17:43:07;Neither;Yes;No;No;Yes;No;Yes, but I do not mind that;Biased;No;No;No;No;No;Irrelevant, systemd is not a Red Hat project;What is that?;In favour;In favour;Neither;In favour;No;No;No;No;No;Yes;Yes;Yes;Yes;Linux;In favour;No, or yes but not because it is free;I'm for free software;Yes;No;Yes, full-stack;Yes;A little;Yes;No;No;No, it is stupid;No;Flexibility;Security;Small;No;LibreOffice, or similar;Emacs-family;Yes;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;;20–40 %;Advanced;bash;I live in the terminal;No;Yes;Server, Desktop, Laptop;2004–2007;26–29;4 years university or university college, or longer;Yes;None;No;Male;No;No;No;
11/25/2014 17:47:56;Neither;No;Don't know;Don't know;Don't know;Don't know;Don't know;Helpful;No;Yes;No;No;No;Irrelevant, systemd is not a Red Hat project;What is that?;In favour;What is that?;What is that?;In favour;No;No;No;Yes;Yes;Yes;No;Yes;Yes;By the name of the distribution I use;In favour;Yes, but not exclusively;I'm for open source;No;No;No;Yes;Yes;Yes;What is that?;Yes;What is that?;What is that?;Stability;Security;Bleeding edge;No;What is LaTeX?;Vi-family;Yes;Tiling, or dynamic;X;GNU/Linux, *BSD, UNIX, OS X, Windows or ReactOS;Other;GNU/Linux, *BSD, *Solaris, UNIX, OS X, Windows or ReactOS;40–60 %;Advanced;bash;I live in the TTY;Yes;Yes;Server, Desktop, Portable, Laptop, Ultrabook, Netbook, Tablet, PDA;2004–2007;22–25;3 years university or university college, or shorter;Yes;3 years university or university college, or shorter;No;Male;No;No;No;
11/25/2014 18:04:34;In favour;It is the only thing I have used;Don't know;No;Yes;Yes;No;I have no opinion;No;Yes;No;No;No;Neutral;What is that?;Neither;In favour;In favour;In favour;No;What is that?;What is that?;No;What is that?;No;No;Yes;No;By the name of the distribution I use;In favour;No, or yes but not because it is free;I'm for open source;No;No;Yes, full-stack;No;A little;Yes;What is that?;Yes;Some of it;What is that?;Bleeding edge;Performance;Shiny;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux, Windows or ReactOS;GNU/Linux;GNU/Linux, OS X, Windows or ReactOS;100 %;Advanced;zsh;I live in the terminal;Yes;No;Desktop, Laptop, Tablet;2004–2007;18–21;High school;No;4 years university or university college, or longer;No;Male;Sometimes;No;No;
11/25/2014 18:04:58;Against;Yes;Yes;Yes;No;No;Yes;I have no opinion;Yes;No;Yes;Yes, but only by its adoption by that software;No;Neutral;Neither;Against;In favour;Neither;In favour;Yes;No;Yes;Yes;No;No;No;No;No;GNU+Linux;In favour;No, or yes but not because it is free;I'm for open source;No;No;No;Yes;A little;Yes;What is that?;Neither;Some of it;No;Stability;Flexibility;Shiny;No;LaTeX, or similar;Emacs-family;I'm not a developer;Tiling, or dynamic;Wayland;GNU/Linux, *BSD, OS X, Windows or ReactOS;GNU/Linux;GNU/Linux, *BSD, Plan 9 from Bell Labs, UNIX, OS X, Windows or ReactOS, Other;80–100 %;Advanced;zsh;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop;2004–2007;18–21;High school;Yes;4 years university or university college, or longer;Yes;Male;No;No;No;
11/25/2014 18:13:47;Neither;Yes;A bit;No;No;Yes;Yes;Legit;No;Yes;No;No;No;Neutral;Neither;In favour;Neither;Neither;Neither;No;What is that?;What is that?;Yes;Yes;Yes;Yes;No;No;By the name of the distribution I use;Neither;No, or yes but not because it is free;I'm for open source;No;Yes, back-end (exclusively or preferably);Yes, full-stack;Yes;A little;Yes;Neither;Yes;Yes;No;Stability;Performance;Shiny;No;LaTeX, or similar;Vi-family;No;Tiling, or dynamic;Wayland;GNU/Linux, *BSD;GNU/Linux;GNU/Linux, *BSD, *Solaris, OS X, Windows or ReactOS;100 %;Advanced;zsh;I live in the terminal;Yes;Depends on which computer a use;Server, Desktop, Laptop;2004–2007;22–25;College;Yes;None;No;Male;Sometimes;Sometimes;Sometimes;
